country,total_cases,confirmed,new_cases,deaths,new_deaths,recovered,active,active_cases,critical,total_tests,total_tests_per_million,total_cases_per_million,total_deaths_per_million,population
Guinea,30445,30445,4,381,1,28970,1094,1094,24,559158,0,2242,28,13578100
Tanzania,25846,25846,,719,,,,,7,0,0,418,12,61860649
Togo,25535,25535,,233,,23366,1936,1936,0,517018,0,2997,27,8521429
Laos,25524,25524,307,22,,5568,19934,19934,0,518530,0,3446,3,7407817
Benin,23890,23890,,159,,21993,1738,1738,5,604310,0,1908,13,12520212
Haiti,21972,21972,,615,,19602,1755,1755,0,120507,0,1898,53,11576724
Lesotho,21360,21360,,650,,11597,9113,9113,0,216277,0,9873,300,2163544
Seychelles,21347,21347,,115,,20903,329,329,0,21504,0,215385,1160,99111
Bahamas,21114,21114,,533,,18533,2048,2048,15,146249,0,53056,1339,397955
Papua New Guinea,21032,21032,151,234,,18632,2166,2166,7,191130,0,2296,26,9159184
Belize,21003,21003,,418,,18325,2260,2260,10,265313,0,51647,1028,406665
Somalia,20577,20577,,1137,,9705,9735,9735,0,231183,0,1251,69,16447443
Mayotte,20323,20323,,180,,2964,17179,17179,0,176919,0,72311,640,281048
Timor-Leste,19592,19592,10,118,,18925,549,549,0,169501,0,14514,87,1349880
Burundi,18271,18271,,38,,773,17460,17460,0,345742,0,1481,3,12333287
Tajikistan,17084,17084,,124,,16960,,,0,0,0,1742,13,9805653
Curaçao,16609,16609,,164,,16066,379,379,4,283639,0,100700,994,164935
Taiwan,16255,16255,5,844,1,15255,156,156,0,6472449,0,681,35,23870870
Mauritius,15695,15695,,84,,1854,13757,13757,0,358675,0,12315,66,1274416
Aruba,15536,15536,,167,,15157,212,212,7,177885,0,144743,1556,107335
Mali,15287,15287,,549,,14327,411,411,0,423361,0,729,26,20979774
Andorra,15222,15222,,130,,15004,88,88,4,193595,0,196616,1679,77420
Nicaragua,14448,14448,,204,,4225,10019,10019,0,0,0,2149,30,6723329
Congo,14359,14359,,197,,12421,1741,1741,0,188207,0,2524,35,5687948
Burkina Faso,14341,14341,6,187,,13944,210,210,0,218512,0,663,9,21619763
Djibouti,12922,12922,,171,,12299,452,452,0,223107,0,12845,170,1005999
Equatorial Guinea,12362,12362,,147,,11008,1207,1207,1,195087,0,8464,101,1460549
Hong Kong,12231,12231,4,213,,11926,92,92,0,25235157,0,1615,28,7573248
South Sudan,12041,12041,,130,,11617,294,294,4,226848,0,1060,11,11358200
Iceland,11958,11958,24,33,,11556,369,369,1,1069544,0,34760,96,344021
Saint Lucia,11693,11693,,209,,10073,1411,1411,13,80380,0,63315,1132,184680
Channel Islands,11657,11657,,97,,11225,335,335,0,911340,0,66281,552,175872
CAR,11371,11371,,100,,6859,4412,4412,2,60228,0,2304,20,4934914
Gambia,9935,9935,,338,,9589,8,8,3,102510,0,3972,135,2501526
Yemen,9139,9139,,1734,,5659,1746,1746,23,265253,0,298,57,30647850
Barbados,9010,9010,,79,,7910,1021,1021,0,324652,0,31305,274,287817
New Caledonia,8142,8142,153,157,7,56,7929,7929,54,42756,0,28179,543,288939
Brunei,7904,7904,188,60,4,5501,2343,2343,32,374059,0,17853,136,442731
Isle of Man,7671,7671,,52,,7247,372,372,1,123937,0,89618,607,85597
Eritrea,6723,6723,,42,,6650,31,31,0,23693,0,1863,12,3607916
Sierra Leone,6396,6396,,121,,4390,1885,1885,0,160729,0,782,15,8180004
Guinea-Bissau,6112,6112,,135,,5338,639,639,4,98544,0,3017,67,2026181
Niger,6042,6042,,203,,5776,63,63,0,158552,0,239,8,25300325
Liberia,5799,5799,,286,,5458,55,55,2,128246,0,1114,55,5206375
Gibraltar,5579,5579,6,97,,5399,83,83,3,363987,0,165657,2880,33678
San Marino,5444,5444,13,91,,5330,23,23,2,79868,0,160019,2675,34021
Grenada,5351,5351,57,157,3,4302,892,892,0,71704,0,47280,1387,113177
Bermuda,5336,5336,,75,,3884,1377,1377,1,545465,0,86080,1210,61989
Chad,5044,5044,,174,,4859,11,11,0,146983,0,296,10,17014915
New Zealand,4382,4382,30,27,,4068,287,287,5,3450152,0,876,5,5002100
Sint Maarten,4321,4321,,66,,4093,162,162,10,53105,0,99365,1518,43486
Comoros,4155,4155,,147,,3968,40,40,0,0,0,4654,165,892781
Saint Martin,3748,3748,,55,,1399,2294,2294,7,54303,0,94905,1393,39492
St. Vincent Grenadines,3676,3676,,28,,2498,1150,1150,2,77842,0,33004,251,111382
Dominica,3673,3673,,22,,3140,511,511,0,75708,0,50866,305,72210
Sao Tome and Principe,3535,3535,,53,,2813,669,669,0,14689,0,15763,236,224254
Antigua and Barbuda,3503,3503,,85,,2308,1110,1110,9,17674,0,35403,859,98946
Liechtenstein,3451,3451,1,60,,3370,21,21,2,49126,0,90187,1568,38265
Monaco,3315,3315,,33,,3263,19,19,2,54960,0,83731,834,39591
Turks and Caicos,2868,2868,,23,,2789,56,56,1,94789,0,72842,584,39373
British Virgin Islands,2642,2642,,37,,2555,50,50,7,79575,0,86671,1214,30483
Bhutan,2608,2608,,3,,2598,7,7,0,1156950,0,3334,4,782257
Caribbean Netherlands,2141,2141,,19,,1967,155,155,0,23069,0,80704,716,26529
Saint Kitts and Nevis,2029,2029,,15,,1012,1002,1002,1,43451,0,37804,279,53671
St. Barth,1578,1578,,4,,462,1112,1112,0,38369,0,159153,403,9915
Faeroe Islands,1217,1217,,2,,1094,121,121,0,435000,0,24788,41,49096
Cayman Islands,853,853,,2,,781,70,70,0,136206,0,12791,30,66689
Diamond Princess,712,712,,13,,699,,,0,0,0,0,0,0
Greenland,591,591,,0,,513,78,78,1,76800,0,10388,0,56894
Wallis and Futuna,445,445,,7,,438,,,0,20508,0,40484,637,10992
Anguilla,425,425,,1,,393,31,31,0,42919,0,28014,66,15171
Macao,72,72,1,0,,64,8,8,0,4906,0,109,0,660425
Falkland Islands,67,67,,0,,63,4,4,0,7531,0,18575,0,3607
Montserrat,34,34,,1,,31,2,2,0,1408,0,6805,200,4996
Saint Pierre Miquelon,31,31,,0,,31,,,0,8671,0,5384,0,5758
Vatican City,27,27,,0,,27,,,0,0,0,33582,0,804
Solomon Islands,20,20,,0,,20,,,0,4500,0,28,0,707950
Western Sahara,10,10,,1,,8,1,1,0,0,0,16,2,615706
MS Zaandam,9,9,,2,,7,,,0,0,0,0,0,0
Palau,5,5,,0,,5,,,0,9964,0,275,0,18202
Vanuatu,4,4,,1,,3,,,0,23000,0,13,3,316123
Marshall Islands,4,4,,0,,4,,,0,0,0,67,0,59691
Samoa,3,3,,0,,3,,,0,0,0,15,0,200068
Saint Helena,2,2,,0,,2,,,0,0,0,328,0,6100
Micronesia,1,1,,0,,1,,,0,0,0,9,0,116534
China,96258,96258,27,4636,,90765,857,857,4,160000000,0,67,3,1439323776
Brunei,7904,7904,188,60,4,5501,2343,2343,32,374059,0,17853,136,442731
Taiwan,16255,16255,5,844,1,15255,156,156,0,6472449,0,681,35,23870870
Cambodia,113475,113475,219,2406,23,104865,6204,6204,0,2450556,0,6672,141,17008855
Australia,113411,113411,2019,1346,12,82406,29659,29659,296,38591872,0,4384,52,25870692
