Date,Number of passengers,,
Nov-97,"1,732,368",,
Dec-97,"1,796,626",,
Jan-98,"1,570,330",,
Feb-98,"1,412,691",,
Mar-98,"1,754,641",,
Apr-98,"1,824,932",,
May-98,"1,843,289",,
Jun-98,"1,825,964",,
Jul-98,"1,968,172",,
Aug-98,"1,921,645",,
Sep-98,"1,669,597",,
Oct-98,"1,791,474",,
Nov-98,"1,816,714",,
Dec-98,"1,846,754",,
Jan-99,"1,599,427",,
Feb-99,"1,548,804",,
Mar-99,"1,832,333",,
Apr-99,"1,839,720",,
May-99,"1,846,498",,
Jun-99,"1,864,852",,
Jul-99,"1,965,743",,
Aug-99,"1,949,002",,
Sep-99,"1,607,373",,
Oct-99,"1,803,664",,
Nov-99,"1,850,309",,
Dec-99,"1,836,435",,
Jan-00,"1,541,660",,
Feb-00,"1,616,928",,
Mar-00,"1,919,538",,
Apr-00,"1,971,493",,
May-00,"1,992,301",,
Jun-00,"2,009,763",,
Jul-00,"2,053,996",,
Aug-00,"2,097,471",,
Sep-00,"1,823,706",,
Oct-00,"1,976,997",,
Nov-00,"1,981,408",,
Dec-00,"2,000,153",,
Jan-01,"1,683,148",,
Feb-01,"1,744,350",,
Mar-01,"2,007,927",,
Apr-01,"2,023,778",,
May-01,"2,047,008",,
Jun-01,"2,072,912",,
Jul-01,"2,126,717",,
Aug-01,"2,202,638",,
Sep-01,"1,707,693",,
Oct-01,"1,950,716",,
Nov-01,"1,973,614",,
Dec-01,"1,984,729",,
Jan-02,"1,759,627",,
Feb-02,"1,770,595",,
Mar-02,"2,019,912",,
Apr-02,"2,048,398",,
May-02,"2,069,063",,
Jun-02,"1,994,267",,
Jul-02,"2,126,717",,
Aug-02,"2,026,560",,
Sep-02,"1,734,155",,
Oct-02,"1,916,769",,
Nov-02,"1,858,341",,
Dec-02,"1,996,351",,
Jan-03,"1,778,033",,
Feb-03,"1,749,489",,
Mar-03,"2,066,466",,
Apr-03,"2,098,899",,
May-03,"2,104,911",,
Jun-03,"2,129,671",,
Jul-03,"2,223,349",,
Aug-03,"2,174,360",,
Sep-03,"1,931,406",,
Oct-03,"2,121,470",,
Nov-03,"2,076,054",,
Dec-03,"2,140,677",,
Jan-04,"1,831,508",,
Feb-04,"1,838,006",,
Mar-04,"2,132,446",,
Apr-04,"2,109,144",,
May-04,"2,196,549",,
Jun-04,"2,185,162",,
Jul-04,"2,246,389",,
Aug-04,"2,176,306",,
Sep-04,"1,918,759",,
Oct-04,"2,114,084",,
Nov-04,"2,157,279",,
Dec-04,"2,228,712",,
Jan-05,"1,839,593",,
Feb-05,"1,793,393",,
Mar-05,"2,257,739",,
Apr-05,"2,115,206",,
May-05,"2,170,325",,
Jun-05,"2,185,873",,
Jul-05,"2,241,162",,
Aug-05,"2,193,906",,
Sep-05,"2,077,231",,
Oct-05,"2,120,981",,
Nov-05,"2,076,685",,
Dec-05,"2,004,402",,
Jan-06,"1,718,844",,
Feb-06,"1,689,593",,
Mar-06,"2,033,850",,
Apr-06,"2,071,622",,
May-06,"2,115,474",,
Jun-06,"2,191,444",,
Jul-06,"2,219,010",,
Aug-06,"2,211,471",,
Sep-06,"1,938,601",,
Oct-06,"2,135,602",,
Nov-06,"2,154,199",,
Dec-06,"2,068,565",,
Jan-07,"1,797,382",,
Feb-07,"1,778,662",,
Mar-07,"2,174,315",,
Apr-07,"2,207,139",,
May-07,"2,295,604",,
Jun-07,"2,291,449",,
Jul-07,"2,414,051",,
Aug-07,"2,429,470",,
Sep-07,"2,101,002",,
Oct-07,"2,336,370",,
Nov-07,"2,413,851",,
Dec-07,"2,311,615",,
Jan-08,"2,005,038",,
Feb-08,"2,029,448",,
Mar-08,"2,423,532",,
Apr-08,"2,320,130",,
May-08,"2,577,189",,
Jun-08,"2,560,067",,
Jul-08,"2,750,278",,
Aug-08,"2,683,564",,
Sep-08,"2,305,321",,
Oct-08,"2,439,526",,
Nov-08,"2,325,788",,
Dec-08,"2,284,620",,
Jan-09,"1,978,503",,
Feb-09,"1,849,331",,
Mar-09,"2,180,182",,
Apr-09,"2,266,655",,
May-09,"2,325,658",,
Jun-09,"2,347,829",,
Jul-09,"2,519,869",,
Aug-09,"2,485,223",,
Sep-09,"2,163,752",,
Oct-09,"2,377,710",,
Nov-09,"2,389,841",,
Dec-09,"2,394,671",,
Jan-10,"2,032,586",,
Feb-10,"1,951,410",,
Mar-10,"2,473,551",,
Apr-10,,,
May-10,,,
Jun-10,,,
