,id_text,id_forum,text,type,tagger,pasien,usia_pasien,penyakit,gejala,kapan,periode,tindakan,outcome,pertanyaan,pembuka,penyebab,prakondisi,objek,penutup,referensi,artikel,observasi,clean_no_stopwords,remove_char,clean_stopwords
13,14,3,"Mohon informasinya, terima kasih",q,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mohon informasinya, terima kasih",mohon informasinya terima kasih,mohon informasinya terima kasih
14,15,4,"Alo Radia, Terima kasih atas pertanyaannya",a,f,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Alo Radia, Terima kasih atas pertanyaannya",alo radia terima kasih atas pertanyaannya,alo radia terima kasih pertanyaannya
15,16,4,Detak jantung manusia normalnya berkisar antara 60-100 detak per menit,a,f,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Detak jantung manusia normalnya berkisar antara 60-100 detak per menit,detak jantung manusia normalnya berkisar antara 60-100 detak per menit,detak jantung manusia normalnya berkisar 60-100 detak menit
16,17,4,Detak jantung di bawah 60 memang tergolong detak jantung yang tidak normal atau lebih lambat,a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Detak jantung di bawah 60 memang tergolong detak jantung yang tidak normal atau lebih lambat,detak jantung di bawah 60 memang tergolong detak jantung yang tidak normal atau lebih lambat,detak jantung 60 tergolong detak jantung normal lambat
17,18,4,"Namun, dalam kondisi Anda, kemungkinan besar ini karena efek samping penggunaan obat bisoprolol",a,f,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Namun, dalam kondisi Anda, kemungkinan besar ini karena efek samping penggunaan obat bisoprolol",namun dalam kondisi anda kemungkinan besar ini karena efek samping penggunaan obat bisoprolol,kondisi efek samping penggunaan obat bisoprolol
18,19,4,"Selama Anda mengkonsumsi obat sesuai anjuran dokter, kontrol teratur ke dokter jantung, dan tidak ada keluhan seperti pusing, sakit dada, sesak napas, maka umumnya kondisi ini hanya perlu dimonitor saja",a,f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Selama Anda mengkonsumsi obat sesuai anjuran dokter, kontrol teratur ke dokter jantung, dan tidak ada keluhan seperti pusing, sakit dada, sesak napas, maka umumnya kondisi ini hanya perlu dimonitor saja",selama anda mengkonsumsi obat sesuai anjuran dokter kontrol teratur ke dokter jantung dan tidak ada keluhan seperti pusing sakit dada sesak napas maka umumnya kondisi ini hanya perlu dimonitor saja,mengkonsumsi obat sesuai anjuran dokter kontrol teratur dokter jantung keluhan pusing sakit dada sesak napas kondisi dimonitor
19,20,4,Yang membahayakan adalah apabila dengan kondisi detak jantung yang rendah ini Anda mengalami gejala lain yang disebutkan di atas,a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yang membahayakan adalah apabila dengan kondisi detak jantung yang rendah ini Anda mengalami gejala lain yang disebutkan di atas,yang membahayakan adalah apabila dengan kondisi detak jantung yang rendah ini anda mengalami gejala lain yang disebutkan di atas,membahayakan kondisi detak jantung rendah mengalami gejala
20,21,4,"Dalam kondisi tersebut, Anda dianjurkan untuk segera mengunjungi IGD rumah sakit terdekat agar dapat segera diperiksa dan diberikan penanganan yang sesuai",a,f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Dalam kondisi tersebut, Anda dianjurkan untuk segera mengunjungi IGD rumah sakit terdekat agar dapat segera diperiksa dan diberikan penanganan yang sesuai",dalam kondisi tersebut anda dianjurkan untuk segera mengunjungi igd rumah sakit terdekat agar dapat segera diperiksa dan diberikan penanganan yang sesuai,kondisi dianjurkan mengunjungi igd rumah sakit terdekat diperiksa penanganan sesuai
21,22,4,"Untuk saat ini, silakan Anda tetap konsumsi obat sesuai dengan dosis yang dianjurkan oleh dokter dan jangan lupa kontrol teratur ke dokter jantung Anda",a,f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Untuk saat ini, silakan Anda tetap konsumsi obat sesuai dengan dosis yang dianjurkan oleh dokter dan jangan lupa kontrol teratur ke dokter jantung Anda",untuk saat ini silakan anda tetap konsumsi obat sesuai dengan dosis yang dianjurkan oleh dokter dan jangan lupa kontrol teratur ke dokter jantung anda,silakan konsumsi obat sesuai dosis dianjurkan dokter lupa kontrol teratur dokter jantung
22,23,4,Hindari juga aktivitas fisik yang berlebihan,a,f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Hindari juga aktivitas fisik yang berlebihan,hindari juga aktivitas fisik yang berlebihan,hindari aktivitas fisik
23,24,4,Semoga membantu,a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Semoga membantu,semoga membantu,semoga membantu
24,25,5,"dok, saya mau bertanya, apa sakit yang akan dialami seseorang ketika mengidap penyakit gagal jantung? apakah dia diharuskan untuk transplantasi jantung? dan bila harus, apa syarat syarat nya dok?",q,f,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"dok, saya mau bertanya, apa sakit yang akan dialami seseorang ketika mengidap penyakit gagal jantung? apakah dia diharuskan untuk transplantasi jantung? dan bila harus, apa syarat syarat nya dok?",dok saya mau bertanya apa sakit yang akan dialami seseorang ketika mengidap penyakit gagal jantung apakah dia diharuskan untuk transplantasi jantung dan bila harus apa syarat syarat nya dok,dok sakit dialami mengidap penyakit gagal jantung diharuskan transplantasi jantung syarat syarat nya dok
25,26,6,Terima kasih atas pertanyaannya.,q,f,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Terima kasih atas pertanyaannya.,terima kasih atas pertanyaannya,terima kasih pertanyaannya
26,27,6,Gagal jantung merupakan kondisi dimana jantung mengalami gangguan dalam dalam memompa aliran darah,a,f,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gagal jantung merupakan kondisi dimana jantung mengalami gangguan dalam dalam memompa aliran darah,gagal jantung merupakan kondisi dimana jantung mengalami gangguan dalam dalam memompa aliran darah,gagal jantung kondisi dimana jantung mengalami gangguan memompa aliran darah
27,28,6,"Gagal jantung dapat disebabkan oleh berbagai kondisi seperti mengalamipenyakit jantung koroner, riwayat hipertensi, diabetes, kerusakan otot jantung, radang otot jantung, gangguan irama jantung, anemia dan sebagainya",a,f,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Gagal jantung dapat disebabkan oleh berbagai kondisi seperti mengalamipenyakit jantung koroner, riwayat hipertensi, diabetes, kerusakan otot jantung, radang otot jantung, gangguan irama jantung, anemia dan sebagainya",gagal jantung dapat disebabkan oleh berbagai kondisi seperti mengalamipenyakit jantung koroner riwayat hipertensi diabetes kerusakan otot jantung radang otot jantung gangguan irama jantung anemia dan sebagainya,gagal jantung disebabkan kondisi mengalamipenyakit jantung koroner riwayat hipertensi diabetes kerusakan otot jantung radang otot jantung gangguan irama jantung anemia
28,29,6,"Risiko gagal jantung meningkat pada seseorang yang obesitas, riwayat merokok, kebiasaan makan-makanan berlemak dan tinggi kolestrol, kurang melakukan aktivitas fisik dan sebagainya",a,f,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Risiko gagal jantung meningkat pada seseorang yang obesitas, riwayat merokok, kebiasaan makan-makanan berlemak dan tinggi kolestrol, kurang melakukan aktivitas fisik dan sebagainya",risiko gagal jantung meningkat pada seseorang yang obesitas riwayat merokok kebiasaan makan-makanan berlemak dan tinggi kolestrol kurang melakukan aktivitas fisik dan sebagainya,risiko gagal jantung meningkat obesitas riwayat merokok kebiasaan makan-makanan berlemak kolestrol aktivitas fisik
29,30,6,"Seseorang yang mengalami gagal jantung dapat merasakan gejala seperti sesak napas, batuk, bengkak pada bagian tubuh seperti kaki, lemas, dan sebagainya",a,f,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Seseorang yang mengalami gagal jantung dapat merasakan gejala seperti sesak napas, batuk, bengkak pada bagian tubuh seperti kaki, lemas, dan sebagainya",seseorang yang mengalami gagal jantung dapat merasakan gejala seperti sesak napas batuk bengkak pada bagian tubuh seperti kaki lemas dan sebagainya,mengalami gagal jantung merasakan gejala sesak napas batuk bengkak tubuh kaki lemas
30,31,6,"Untuk mengetahui apakah gejala tersebut disebabkan karena gagal jantung, maka perlu dilakukan pemeriksaan ke dokter agar dokter dapat melakukan pemeriksaan berupa wawancara keluhan, pemeriksaan fisik untuk melihat tanda gagal jantung, serta pemeriksaan penunjang seperti rontgen, pemeriksaan rekam jantung, dan sebagainya",a,f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Untuk mengetahui apakah gejala tersebut disebabkan karena gagal jantung, maka perlu dilakukan pemeriksaan ke dokter agar dokter dapat melakukan pemeriksaan berupa wawancara keluhan, pemeriksaan fisik untuk melihat tanda gagal jantung, serta pemeriksaan penunjang seperti rontgen, pemeriksaan rekam jantung, dan sebagainya",untuk mengetahui apakah gejala tersebut disebabkan karena gagal jantung maka perlu dilakukan pemeriksaan ke dokter agar dokter dapat melakukan pemeriksaan berupa wawancara keluhan pemeriksaan fisik untuk melihat tanda gagal jantung serta pemeriksaan penunjang seperti rontgen pemeriksaan rekam jantung dan sebagainya,gejala disebabkan gagal jantung pemeriksaan dokter dokter pemeriksaan wawancara keluhan pemeriksaan fisik tanda gagal jantung pemeriksaan penunjang rontgen pemeriksaan rekam jantung
31,32,6,"Mengenai pengobatan yang dilakukan, hal tersebut terutama untuk mengurangi beban kerja jantung",a,f,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Mengenai pengobatan yang dilakukan, hal tersebut terutama untuk mengurangi beban kerja jantung",mengenai pengobatan yang dilakukan hal tersebut terutama untuk mengurangi beban kerja jantung,pengobatan mengurangi beban kerja jantung
32,33,6,"Pengobatan yang dapat diberikan seperti obat-obatan, operasi misalnya pemasangan ring jantung, implan jantung, hingga transplantasi",a,f,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"Pengobatan yang dapat diberikan seperti obat-obatan, operasi misalnya pemasangan ring jantung, implan jantung, hingga transplantasi",pengobatan yang dapat diberikan seperti obat-obatan operasi misalnya pemasangan ring jantung implan jantung hingga transplantasi,pengobatan obat-obatan operasi pemasangan ring jantung implan jantung transplantasi
33,34,6,Pengobatan yang dipilih disesuaikan dengan derajat beratnya gagal jantung dan kondisi penyerta yang dimiliki,a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pengobatan yang dipilih disesuaikan dengan derajat beratnya gagal jantung dan kondisi penyerta yang dimiliki,pengobatan yang dipilih disesuaikan dengan derajat beratnya gagal jantung dan kondisi penyerta yang dimiliki,pengobatan dipilih disesuaikan derajat beratnya gagal jantung kondisi penyerta dimiliki
34,35,6,"Pada umumnya, pemberian obat-obatan akan dilakukan terlebih dahulu karena prosedur seperti operasi memerlukan persiapan yang panjang misalnya pada donor perlu dilakukan pemeriksaan untuk mengetahui kecocokannya",a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pada umumnya, pemberian obat-obatan akan dilakukan terlebih dahulu karena prosedur seperti operasi memerlukan persiapan yang panjang misalnya pada donor perlu dilakukan pemeriksaan untuk mengetahui kecocokannya",pada umumnya pemberian obat-obatan akan dilakukan terlebih dahulu karena prosedur seperti operasi memerlukan persiapan yang panjang misalnya pada donor perlu dilakukan pemeriksaan untuk mengetahui kecocokannya,pemberian obat-obatan prosedur operasi persiapan donor pemeriksaan kecocokannya
35,36,6,"Sementara itu sebaiknya melakukan konsultasi ke dokter untuk mengetahui kondisi yang dialami saat ini, serta menjaga kesehatan dengan menjaga makanan yang rendah lemak dan kolestrol, tidak kelelahan, dan sebagainya",a,f,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Sementara itu sebaiknya melakukan konsultasi ke dokter untuk mengetahui kondisi yang dialami saat ini, serta menjaga kesehatan dengan menjaga makanan yang rendah lemak dan kolestrol, tidak kelelahan, dan sebagainya",sementara itu sebaiknya melakukan konsultasi ke dokter untuk mengetahui kondisi yang dialami saat ini serta menjaga kesehatan dengan menjaga makanan yang rendah lemak dan kolestrol tidak kelelahan dan sebagainya,konsultasi dokter kondisi dialami menjaga kesehatan menjaga makanan rendah lemak kolestrol kelelahan
36,37,7,"Ibu saya usia 54 tahun kata dokter ibu sya mengidap penyakit gagal jantung ringan dan kanker paru, udh hampir 2 bulan dy selalu pakai oksigen apakh org yg terkena kanker paru bisa bebas dri oksigen atau selamanya akan ketergntungan",q,f,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,"Ibu saya usia 54 tahun kata dokter ibu saya mengidap penyakit gagal jantung ringan dan kanker paru, sudah hampir 2 bulan dia selalu pakai oksigen apakh orang yang terkena kanker paru bisa bebas dari oksigen atau selamanya akan ketergntungan",ibu saya usia 54 tahun kata dokter ibu saya mengidap penyakit gagal jantung ringan dan kanker paru sudah hampir 2 bulan dia selalu pakai oksigen apakh orang yang terkena kanker paru bisa bebas dari oksigen atau selamanya akan ketergntungan,usia 54 dokter mengidap penyakit gagal jantung ringan kanker paru 2 pakai oksigen apakh orang terkena kanker paru bebas oksigen ketergntungan
37,38,8,"Selamat malam, terima kasih telah bertanya di Alodokter",a,f,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Selamat malam, terima kasih telah bertanya di Alodokter",selamat malam terima kasih telah bertanya di alodokter,selamat malam terima kasih alodokter
38,39,8,Orang yang mengalami kanker paru dan gagal jantung tidak selalu membutuhkan bantuan oksigen,a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orang yang mengalami kanker paru dan gagal jantung tidak selalu membutuhkan bantuan oksigen,orang yang mengalami kanker paru dan gagal jantung tidak selalu membutuhkan bantuan oksigen,orang mengalami kanker paru gagal jantung membutuhkan bantuan oksigen
39,40,8,Hanya sebagian orang tertentu dengan tingkat keparahan tertentu dimana sistem pernapasannya terganggu dalam fungsinya menangkap oksigen yang membutuhkan bantuan oksigen,a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hanya sebagian orang tertentu dengan tingkat keparahan tertentu dimana sistem pernapasannya terganggu dalam fungsinya menangkap oksigen yang membutuhkan bantuan oksigen,hanya sebagian orang tertentu dengan tingkat keparahan tertentu dimana sistem pernapasannya terganggu dalam fungsinya menangkap oksigen yang membutuhkan bantuan oksigen,orang tingkat keparahan dimana sistem pernapasannya terganggu fungsinya menangkap oksigen membutuhkan bantuan oksigen
40,41,8,"Kondisi keparahan ini tidak selalu permanen, ada yang pada akhirnya kondisinya membaik dan tidak membutuhkan oksigen lagi, dan ada juga yang kondisinya lalu memburuk sampai membutuhkan alat bantu napas di ruang ICU",a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kondisi keparahan ini tidak selalu permanen, ada yang pada akhirnya kondisinya membaik dan tidak membutuhkan oksigen lagi, dan ada juga yang kondisinya lalu memburuk sampai membutuhkan alat bantu napas di ruang ICU",kondisi keparahan ini tidak selalu permanen ada yang pada akhirnya kondisinya membaik dan tidak membutuhkan oksigen lagi dan ada juga yang kondisinya lalu memburuk sampai membutuhkan alat bantu napas di ruang icu,kondisi keparahan permanen kondisinya membaik membutuhkan oksigen kondisinya memburuk membutuhkan alat bantu napas ruang icu
41,42,8,Tidak ada yang bisa meramalkan ke arah mana kondisi penyakit suatu pasien akan berujung,a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tidak ada yang bisa meramalkan ke arah mana kondisi penyakit suatu pasien akan berujung,tidak ada yang bisa meramalkan ke arah mana kondisi penyakit suatu pasien akan berujung,meramalkan arah kondisi penyakit pasien berujung
42,43,8,"Dokter hanya bisa memperkirakan harapan kesembuhan dan opsi penanganan apa yang dimiliki dari kesimpulan klinis yang dimilikinya sekarang, berdasarkan berbagai data klinis seperti hasil lab, rontgen, CT scan, perluasan penyakit, dan respon tubuh terhadap pengobatan",a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dokter hanya bisa memperkirakan harapan kesembuhan dan opsi penanganan apa yang dimiliki dari kesimpulan klinis yang dimilikinya sekarang, berdasarkan berbagai data klinis seperti hasil lab, rontgen, CT scan, perluasan penyakit, dan respon tubuh terhadap pengobatan",dokter hanya bisa memperkirakan harapan kesembuhan dan opsi penanganan apa yang dimiliki dari kesimpulan klinis yang dimilikinya sekarang berdasarkan berbagai data klinis seperti hasil lab rontgen ct scan perluasan penyakit dan respon tubuh terhadap pengobatan,dokter harapan kesembuhan opsi penanganan dimiliki kesimpulan klinis dimilikinya berdasarkan data klinis hasil lab rontgen ct scan perluasan penyakit respon tubuh pengobatan
43,44,8,"Maka memang terkait ibu Anda, yang paling bisa memberikan informasi dengan akurat adalah dokter onkologi/kanker atau dokter paru yang merawatnya sekarang",a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Maka memang terkait ibu Anda, yang paling bisa memberikan informasi dengan akurat adalah dokter onkologi/kanker atau dokter paru yang merawatnya sekarang",maka memang terkait ibu anda yang paling bisa memberikan informasi dengan akurat adalah dokter onkologikanker atau dokter paru yang merawatnya sekarang,terkait informasi akurat dokter onkologikanker dokter paru merawatnya
44,45,8,"Saran kami, sebaiknya pihak keluarga melakukan diskusi dengan dokter mengenai kondisi yang dialami ibu Anda dan target penanganan kedepannya serta apa saja yang bisa diharapkan, untuk menghindari kebingungan dan kesalahpahaman",a,f,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Saran kami, sebaiknya pihak keluarga melakukan diskusi dengan dokter mengenai kondisi yang dialami ibu Anda dan target penanganan kedepannya serta apa saja yang bisa diharapkan, untuk menghindari kebingungan dan kesalahpahaman",saran kami sebaiknya pihak keluarga melakukan diskusi dengan dokter mengenai kondisi yang dialami ibu anda dan target penanganan kedepannya serta apa saja yang bisa diharapkan untuk menghindari kebingungan dan kesalahpahaman,saran keluarga diskusi dokter kondisi dialami target penanganan kedepannya diharapkan menghindari kebingungan kesalahpahaman
45,46,8,"Sekian, semoga menjawab pertanyaan Anda",a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Sekian, semoga menjawab pertanyaan Anda",sekian semoga menjawab pertanyaan anda,sekian semoga
46,47,9,"Hallo dok saya mau bertanya papah saya punya riwayat paru dan jantung,setiap kali jalan lama maupun sedikit selalu terasa cape kalo boleh tau obat nya apa ya dok,solusi agar tidak mudah cape🙏",q,f,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Hallo dok saya mau bertanya papah saya punya riwayat paru dan jantung,setiap kali jalan lama maupun sedikit selalu terasa capek kalo boleh tau obat nya apa ya dok,solusi agar tidak mudah cape🙏",hallo dok saya mau bertanya papah saya punya riwayat paru dan jantungsetiap kali jalan lama maupun sedikit selalu terasa capek kalo boleh tau obat nya apa ya doksolusi agar tidak mudah cape🙏,hallo dok papah riwayat paru jantungsetiap kali jalan capek kalo tau obat nya ya doksolusi mudah cape🙏
47,48,10,Terima kasih atas pertanyaannya di Alodokter,a,f,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Terima kasih atas pertanyaannya di Alodokter,terima kasih atas pertanyaannya di alodokter,terima kasih pertanyaannya alodokter
48,49,10,Perlu diperjelas riwayat penyakit parunya apa dan riwayat penyakit jantungnya apa,a,f,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Perlu diperjelas riwayat penyakit parunya apa dan riwayat penyakit jantungnya apa,perlu diperjelas riwayat penyakit parunya apa dan riwayat penyakit jantungnya apa,diperjelas riwayat penyakit parunya riwayat penyakit jantungnya
49,50,10,"Dari uraian Anda, ada keluhan mudah lelah",a,f,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dari uraian Anda, ada keluhan mudah lelah",dari uraian anda ada keluhan mudah lelah,uraian keluhan mudah lelah
50,51,10,Hal ini umum terjadi pada pasien dengan gagal jantung,a,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hal ini umum terjadi pada pasien dengan gagal jantung,hal ini umum terjadi pada pasien dengan gagal jantung,pasien gagal jantung
51,52,10,"Gagal jantung sering terjadi akibat hipertensi (tekanan darah tinggi) yang tidak terkontrol (tidak pernah minum obat dari dokter secara rutin dan tidak kontrol ke dokter, atau hanya membeli obat secara sembarangan di apotek tanpa resep dokter)",a,f,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gagal jantung sering terjadi akibat hipertensi (tekanan darah tinggi) yang tidak terkontrol (tidak pernah minum obat dari dokter secara rutin dan tidak kontrol ke dokter, atau hanya membeli obat secara sembarangan di apotek tanpa resep dokter)",gagal jantung sering terjadi akibat hipertensi tekanan darah tinggi yang tidak terkontrol tidak pernah minum obat dari dokter secara rutin dan tidak kontrol ke dokter atau hanya membeli obat secara sembarangan di apotek tanpa resep dokter,gagal jantung akibat hipertensi tekanan darah terkontrol minum obat dokter rutin kontrol dokter membeli obat sembarangan apotek resep dokter
